2.18,0.57,0
4.13,5.12,0
9.87,1.95,1
4.02,-0.80,1
1.18,1.03,0
4.59,5.74,0
8.25,1.30,1
3.91,-0.68,1
0.55,1.26,0
5.64,6.67,0
9.22,1.46,1
4.36,-1.27,1
2.19,2.66,0
4.36,4.86,0
7.40,4.44,1
3.89,0.14,1
1.67,0.81,0
4.97,5.67,0
8.52,2.13,1
5.24,-0.76,1
1.06,2.07,0
5.69,6.08,0
9.52,2.98,1
4.73,-1.71,1
1.64,0.96,0
5.55,5.68,0
8.10,4.26,1
3.82,-1.23,1
1.09,1.40,0
4.83,6.16,0
7.81,1.86,1
4.91,-2.79,1
1.74,0.77,0
5.31,6.61,0
7.24,1.18,1
4.14,-1.36,1
1.12,2.73,0
5.76,4.67,0
9.04,1.63,1
3.89,-2.01,1
0.31,1.50,0
4.14,5.02,0
8.53,2.30,1
4.50,-0.74,1
1.69,1.72,0
4.99,5.01,0
7.93,3.39,1
3.84,-1.55,1
2.37,0.15,0
5.32,5.93,0
7.81,2.63,1
2.64,-0.69,1
0.59,0.67,0
5.54,5.44,0
9.62,4.59,1
3.60,-1.84,1
1.64,0.48,0
5.47,6.16,0
9.53,2.40,1
4.74,-1.74,1
1.96,1.99,0
5.92,6.03,0
7.88,1.71,1
5.39,-2.82,1
0.82,1.96,0
4.50,5.73,0
7.29,1.79,1
3.31,-1.45,1
0.94,2.09,0
5.20,6.15,0
7.98,1.61,1
4.47,-2.51,1
1.31,1.01,0
5.93,7.36,0
8.66,2.31,1
4.92,-1.34,1
-0.39,2.06,0
5.18,6.24,0
5.35,1.36,1
5.25,-0.93,1
1.65,2.26,0
5.74,6.22,0
8.04,1.60,1
4.43,-2.43,1
1.99,1.73,0
4.53,6.67,0
8.57,1.52,1
4.16,-0.22,1
1.50,1.31,0
6.13,6.32,0
10.62,1.67,1
4.92,-1.05,1
0.05,0.38,0
3.84,5.80,0
8.35,2.31,1
3.14,-1.23,1
1.81,1.33,0
2.56,5.91,0
9.02,2.76,1
4.60,-2.16,1
0.33,1.43,0
4.46,4.99,0
8.45,2.15,1
4.95,-2.04,1
0.87,1.53,0
4.81,6.54,0
9.79,2.24,1
3.27,-1.06,1
1.35,2.10,0
4.64,7.80,0
9.50,2.49,1
4.50,0.31,1
1.30,2.01,0
4.02,5.97,0
8.36,1.99,1
4.97,-2.08,1
0.62,1.85,0
5.38,5.19,0
9.05,3.26,1
4.72,-0.14,1
2.91,2.18,0
5.15,5.81,0
8.98,2.76,1
5.20,-1.74,1
0.29,2.09,0
5.73,6.34,0
9.78,2.65,1
4.60,-1.53,1
0.42,1.95,0
3.74,6.49,0
9.31,1.57,1
5.28,-0.33,1
2.20,1.72,0
4.55,5.14,0
7.77,2.17,1
4.43,-2.28,1
-0.04,0.47,0
4.10,6.79,0
8.61,1.64,1
4.22,-0.59,1
1.84,0.95,0
3.55,7.28,0
8.94,3.60,1
4.21,-2.44,1
1.24,3.41,0
5.16,7.36,0
8.93,1.25,1
4.09,-1.41,1
1.57,0.92,0
4.69,4.76,0
8.85,2.18,1
4.43,-0.82,1
0.59,2.13,0
5.84,5.02,0
8.90,3.61,1
4.04,0.71,1
0.01,1.43,0
5.22,6.49,0
8.37,2.41,1
4.95,-1.45,1
1.18,0.53,0
5.63,5.08,0
8.57,1.16,1
4.24,-1.03,1
0.94,1.44,0
5.92,5.07,0
8.85,4.45,1
2.64,-1.79,1
1.44,1.72,0
4.45,6.67,0
8.16,1.76,1
4.50,-2.56,1
1.90,2.23,0
4.92,6.01,0
8.67,2.18,1
4.51,-1.46,1
0.14,0.06,0
5.55,4.90,0
9.27,3.24,1
4.85,-1.07,1
1.52,2.25,0
6.17,5.23,0
7.55,1.92,1
4.72,-1.61,1
2.46,2.01,0
5.24,5.50,0
8.97,2.55,1
5.67,-1.36,1
2.08,3.00,0
5.60,5.93,0
7.48,3.28,1
3.58,-0.23,1
1.99,1.21,0
4.89,7.32,0
8.48,2.36,1
3.36,-0.88,1
1.49,1.44,0
4.97,6.23,0
8.64,2.56,1
4.79,-0.60,1
1.14,1.85,0
4.25,5.36,0
8.01,0.68,1
3.89,-1.53,1
1.31,1.78,0
3.51,6.48,0
7.57,1.73,1
4.38,-2.39,1
1.36,1.52,0
6.32,4.84,0
7.75,2.63,1
4.05,-0.61,1
0.85,0.72,0
3.81,5.92,0
8.46,2.43,1
5.56,-2.22,1
1.19,3.08,0
4.46,6.19,0
7.06,3.23,1
4.74,-1.10,1
2.02,1.86,0
3.66,7.55,0
9.31,2.03,1
5.12,0.46,1
0.16,0.90,0
5.55,6.47,0
7.80,2.97,1
3.26,-1.00,1
0.66,0.52,0
4.54,5.44,0
7.58,3.10,1
3.46,-2.51,1
1.58,1.81,0
5.17,7.57,0
8.27,1.36,1
4.55,-1.21,1
0.35,1.46,0
4.58,4.76,0
9.61,2.32,1
5.80,-1.06,1
1.29,1.56,0
3.80,5.42,0
8.78,1.29,1
4.60,-0.14,1
1.82,0.44,0
3.90,6.53,0
7.96,3.13,1
4.20,-0.62,1
0.98,1.41,0
6.29,5.48,0
9.31,2.93,1
4.10,-0.94,1
0.84,0.06,0
4.41,5.33,0
8.79,3.51,1
4.58,-0.38,1
0.92,1.98,0
5.64,6.38,0
9.24,3.50,1
5.00,-1.76,1
1.19,1.24,0
5.72,5.54,0
8.73,2.47,1
4.52,-1.57,1
1.04,2.23,0
4.40,6.56,0
7.16,2.26,1
4.36,-0.34,1
0.95,2.12,0
6.20,6.39,0
8.12,2.28,1
5.89,-0.95,1
1.30,0.30,0
4.79,6.80,0
9.22,1.75,1
4.46,-0.25,1
1.49,1.32,0
4.07,5.99,0
9.79,0.80,1
4.72,-2.27,1
1.29,0.80,0
3.89,5.92,0
8.11,2.70,1
5.05,-1.11,1
0.28,0.40,0
4.49,5.25,0
9.36,2.33,1
4.62,-1.49,1
1.85,0.23,0
4.34,5.57,0
8.03,1.73,1
4.41,-1.01,1
1.41,0.43,0
